username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,,,,,,,
akhilnikhil009,05/05/2020 01:06:00,0,0,सोच समझ के इस्तेमाल करे। ये टिक टोकक आपकी जान बचाए न बचाए आरोग्य सेतु एप जरूर मदद करेगा । #AarogyaSetu @sdeo76 pic.twitter.com/iuPkuDMhkZ,,@sdeo76,#AarogyaSetu,1.25733E+18,https://twitter.com/akhilnikhil009/status/1257333199723737090,,,,,,,
mishisdad,05/05/2020 01:03:00,0,0,#Corona survivors are the true winners in the battle against #COVID19 We must honour and encourage them #AarogyaSetu @yearning4d_sky @BSNLCorporate @rsprasad pic.twitter.com/v34QkSG4SI,,@yearning4d_sky @BSNLCorporate @rsprasad,#Corona #COVID19 #AarogyaSetu,1.25733E+18,https://twitter.com/mishisdad/status/1257332578178289664,,,,,,,
SetuAarogya,05/05/2020 01:02:00,135,581,The #AarogyaSetuApp has an informative and updated dashboard that gives relevant information for every geographic area of the country. #IndiaFightsCorona With #AarogyaSetu ,,,,,,,,,,,,
ians_india,05/05/2020 01:01:00,0,14,#AshwaniMahajan ( @ashwani_mahajan ),,,,,,,,,,,,
iBhargavpanchal,05/05/2020 00:59:00,0,2,#कोरोनावायरस संक्रमण की चेन तोड़ने और सभी की सुरक्षा सुनिश्चित करने के लिए केंद्र सरकार ने #आरोग्य_सेतु एप अनिवार्य कीया है। एस ऐप से आप खुद को,,,,,,,,,,,,
ManasTheNayak,05/05/2020 00:58:00,0,0,@SetuAarogya App I don't have,,,,,,,,,,,,
SajadMirKmr,05/05/2020 00:58:00,0,8,The #ThoughtPolice ,,,,,,,,,,,,
cgm_mh_bsnl,05/05/2020 00:56:00,9,25,Stay indoors and take care of your health.This way we can contribute towards the fight with #COVID19 #AarogyaSetu @rsprasad @BSNLCorporate pic.twitter.com/7X8OD0irJ4,,@rsprasad @BSNLCorporate,#COVID19 #AarogyaSetu,1.25733E+18,https://twitter.com/cgm_mh_bsnl/status/1257330714187448321,,,,,,,
Etechknowledgy1,05/05/2020 00:53:00,0,0,Bored of clicking pictures,,,,,,,,,,,,
JournalistJmu,05/05/2020 00:53:00,0,1,Mandatory download of #AarogyaSetu app in #Leh #Ladakh DM Sachin Kumar issues an order that all the residents,,,,,,,,,,,,
IndiaToday,05/05/2020 00:53:00,4,16,#AarogyaSetu app : Protection vs Privacy debate! Watch #Newstrack LIVE with @rahulkanwal : http:// bit.ly/IT_LiveTV pic.twitter.com/y5kLTBl0En,,@rahulkanwal,#AarogyaSetu #Newstrack,1.25733E+18,https://twitter.com/IndiaToday/status/1257329958285750273,,,,,,,
r_patel,05/05/2020 00:50:00,0,0,If Govt should sell liquor it should do home delivery via Aarogya setu app to people who answer the questions in the app. One stone 2 birds #wineshops #AarogyaSetuApp #alcohol #LiquorShops #PMModi #AarogyaSetu #AskZee,,,#wineshops #AarogyaSetuApp #alcohol #LiquorShops #PMModi #AarogyaSetu #AskZee,1.25733E+18,https://twitter.com/r_patel/status/1257329230796349441,,,,,,,
ISamuelPaul,05/05/2020 00:47:00,0,0,No other country with the exception of China forces its citizens to install an app,,,,,,,,,,,,
IndiaToday,05/05/2020 00:46:00,8,49,#IndiaFightsCorona | @PrinSciAdvGoI K. VijayRaghavan addresses certain major concerns regarding the #AarogyaSetu app. @nixxin (Nikhil Pahwa) says-''we can't have ALL or NOTHING approach to the privacy''. Watch #Newstrack with @rahulkanwal LIVE: http:// bit.ly/IT_LiveTV pic.twitter.com/1paGkcu32X,,@PrinSciAdvGoI @nixxin @rahulkanwal,#IndiaFightsCorona #AarogyaSetu #Newstrack,1.25733E+18,https://twitter.com/IndiaToday/status/1257328283349180416,,,,,,,
algoworks,05/05/2020 00:46:00,0,0,#AarogyaSetu is now #mandatory for #public ,,,,,,,,,,,,
rkhuria,05/05/2020 00:44:00,7,11,"This is what the infamous #AarogyaSetu is meant for : creation of a surveillance state. Excuse For Surveillance State...: Shashi Tharoor On Aarogya Setu https://www. ndtv.com/india-news/sha shi-tharoor-on-aarogya-setu-app-excuse-for-surveillance-state-2223182 …""",,,#AarogyaSetu,1.25733E+18,https://twitter.com/rkhuria/status/1257327780750143490,,,,,,,
Fastfinity,05/05/2020 00:44:00,0,0,Any idea before no #Lockdown what kind of stringent lockdown was imposed in Taiwan?All recent travelers were quarantined & tracked through their mobiles.Toll-free 1922 served as a hotline for citizens to report suspicious symptoms in others. Here we r opposed to even #AarogyaSetu,,,#Lockdown #AarogyaSetu,1.25733E+18,https://twitter.com/Fastfinity/status/1257327687363936261,,,,,,,
udayavani_web,05/05/2020 00:41:00,3,5,#AarogyaSetu app tops 90 million downloads: Kant https:// bit.ly/3dcv89w,,,#AarogyaSetu,1.25733E+18,https://twitter.com/udayavani_web/status/1257326982930419713,,,,,,,
srivastavsun,05/05/2020 00:41:00,1,3,#AarogyaSetu @rahulkanwal people not only have to download the app but also to do a self assessment ,,,,,,,,,,,,
DXBMumbaikar,05/05/2020 00:40:00,0,0,#AarogyaSetu #COVID19 #India https:// twitter.com/IndiaToday/sta tus/1257318608369139712 …,,,#AarogyaSetu #COVID19 #India,1.25733E+18,https://twitter.com/DXBMumbaikar/status/1257326803556974592,,,,,,,
IndiaToday,05/05/2020 00:39:00,16,104,#AarogyaSetu app does not compromise privacy: @PrinSciAdvGoI K. VijayRaghavan Watch #Newstrack with @rahulkanwal LIVE: http:// bit.ly/IT_LiveTV pic.twitter.com/gCveHLh6xw,,@PrinSciAdvGoI @rahulkanwal,#AarogyaSetu #Newstrack,1.25733E+18,https://twitter.com/IndiaToday/status/1257326578163281922,,,,,,,
EconomicTimes,05/05/2020 00:36:00,5,19,The government making the #AarogyaSetu mobile application mandatory for all employees raises serious data protection questions,,,,,,,,,,,,
yaps9,05/05/2020 00:35:00,0,0,Hi @rahulkanwal ,,,,,,,,,,,,
IndiaToday,05/05/2020 00:34:00,17,121,#AarogyaSetu App: Is your personal data safe ? Watch #Newstrack with @rahulkanwal LIVE: http:// bit.ly/IT_LiveTV pic.twitter.com/AwjyKxiAoB,,@rahulkanwal,#AarogyaSetu #Newstrack,1.25733E+18,https://twitter.com/IndiaToday/status/1257325174858215424,,,,,,,
Puneetvizh,05/05/2020 00:33:00,0,0,"Excuse For Surveillance State..."": Shashi Tharoor On #AarogyaSetu https://www. ndtv.com/india-news/sha shi-tharoor-on-aarogya-setu-app-excuse-for-surveillance-state-2223182 …""",,,#AarogyaSetu,1.25733E+18,https://twitter.com/Puneetvizh/status/1257325022361710596,,,,,,,
Vaidic_YogaGuru,05/05/2020 00:32:00,0,0,Home remedy for jaundice #health #AarogyaSetu pic.twitter.com/wgMHE8Amsj,,,#health #AarogyaSetu,1.25732E+18,https://twitter.com/Vaidic_YogaGuru/status/1257324789821108227,,,,,,,
thefirstindia,05/05/2020 00:26:00,0,1,#COVID19 must not become excuse for creation of 'surveillance state' in India: #Congress leader #ShashiTharoor on #AarogyaSetu app. pic.twitter.com/jkZZdvUcck,,,#COVID19 #Congress #ShashiTharoor #AarogyaSetu,1.25732E+18,https://twitter.com/thefirstindia/status/1257323212137852929,,,,,,,
harshgoyal1701,05/05/2020 00:19:00,1,0,@ThePrintIndia @ShekharGupta Is it too easy for companies to move out from China,,,,,,,,,,,,
